Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Sewerage,ISIC Division,Education,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,Sewerage,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Accommodation,"Camping grounds, recreational vehicle parks and trailer parks",ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Sewerage,ISIC Division,Education,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,Sewerage,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Accommodation,Other accommodation,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Sewerage,ISIC Division,Education,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,Sewerage,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Accommodation,Short term accommodation activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,Sewerage,ISIC Division,Education,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,Sewerage,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Beverage serving activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of wearing apparel,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Sewerage,ISIC Division,Education,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,Sewerage,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Event catering and other food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of wearing apparel,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Sewerage,ISIC Division,Education,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,Sewerage,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
Accommodation and food service activities,Food and beverage service activities,Restaurants and mobile food service activities,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,ISIC Group,N/A,N/A,N/A,N/A
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,ISIC Group,N/A,N/A,N/A,N/A
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Human health activities,ISIC Division,Human health activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Human health activities,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Human health activities,ISIC Division,Residential care activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Human health activities,ISIC Division,Social work activities without accommodation,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Human health activities,ISIC Division,Veterinary activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Civil engineering,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Construction of buildings,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Human health activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Residential care activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Social work activities without accommodation,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Specialized construction activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Veterinary activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Civil engineering,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Construction of buildings,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Human health activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Residential care activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Social work activities without accommodation,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Specialized construction activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of chemicals and chemical products,ISIC Division,Veterinary activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Accommodation,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Food and beverage service activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Human health activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of beverages,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Manufacture of food products,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Raising of poultry,ISIC Class
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Residential care activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Social work activities without accommodation,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of food products,ISIC Division,Veterinary activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of textiles,ISIC Division,Civil engineering,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of textiles,ISIC Division,Construction of buildings,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of textiles,ISIC Division,Manufacture of textiles,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of textiles,ISIC Division,Manufacture of wearing apparel,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of textiles,ISIC Division,Specialized construction activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of wearing apparel,ISIC Division,Civil engineering,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of wearing apparel,ISIC Division,Construction of buildings,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of textiles,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of wearing apparel,ISIC Division,Manufacture of wearing apparel,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Manufacture of wearing apparel,ISIC Division,Specialized construction activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Residential care activities,ISIC Division,Human health activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Residential care activities,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Residential care activities,ISIC Division,Residential care activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Residential care activities,ISIC Division,Social work activities without accommodation,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Residential care activities,ISIC Division,Veterinary activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Social work activities without accommodation,ISIC Division,Human health activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Social work activities without accommodation,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Social work activities without accommodation,ISIC Division,Residential care activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Social work activities without accommodation,ISIC Division,Social work activities without accommodation,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Social work activities without accommodation,ISIC Division,Veterinary activities,ISIC Division
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Undifferentiated goods- and services-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,ISIC Group,Veterinary activities,ISIC Division,Human health activities,ISIC Division
