,Economic activity ,,,,,Ecosystem services dependencies and their materiality ratings ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISIC Unique code,ISIC Section,ISIC Division,ISIC Group,ISIC Class,ISIC level used for analysis ,Other provisioning services - Animal-based energy,Biomass provisioning,Solid waste remediation,Soil and sediment retention,Water purification,Soil quality regulation,Other regulating and maintenance service - Dilution by atmosphere and ecosystems,Biological control,Air Filtration,Flood mitigation services,Genetic material,Global climate regulation,Water supply,Nursery population and habitat maintenance,Noise attenuation ,Other regulating and maintenance service - Mediation of sensory impacts (other than noise),Local (micro and meso) climate regulation,Pollination,Storm mitigation,Water flow regulation,Rainfall pattern regulation,Recreation related services,Visual amenity services,"Education, scientific and research services","Spiritual, artistic and symbolic services"
A_1_14_141,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Animal production,Raising of cattle and buffaloes,Class,N/A,VH,M,VH,H,H,L,M,M,M,M,M,H,VL,VL,VL,M,N/A,H,H,VH,ND,ND,VH,VH
A_1_14_142,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Animal production,Raising of horses and other equines,Class,N/A,H,M,VH,H,H,L,M,M,M,M,M,H,VL,VL,VL,M,N/A,H,H,VH,ND,ND,ND,VH
A_1_14_143,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Animal production,Raising of camels and camelids,Class,N/A,H,L,M,H,H,L,M,M,M,M,M,H,VL,VL,VL,M,N/A,H,H,VH,N/A,N/A,N/A,ND
A_1_14_144,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Animal production,Raising of sheep and goats,Class,N/A,H,L,VH,H,H,L,M,M,M,M,M,H,VL,VL,VL,M,N/A,H,H,VH,N/A,N/A,N/A,VH
A_1_14_149,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Animal production,Raising of other animals,Class,N/A,H,M,M,H,H,L,M,M,M,M,M,H,VL,VL,VL,M,N/A,H,H,VH,N/A,N/A,N/A,VH
A_1_14_145,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Animal production,Raising of swine/pigs,Class,N/A,H,M,M,H,H,L,M,M,M,M,M,H,VL,VL,VL,M,N/A,H,H,VH,N/A,N/A,N/A,VH
A_1_14_146,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Animal production,Raising of poultry,Class,N/A,H,M,M,H,L,L,M,M,M,M,M,M,VL,VL,VL,M,N/A,H,H,VH,N/A,N/A,N/A,VH
A_1_11_111,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of cereals (except rice), leguminous crops and oil seeds",Class,M,VH,M,VH,VH,VH,M,H,M,H,VH,VH,H,VL,N/A,N/A,VH,H,H,H,VH,N/A,N/A,N/A,N/A
A_1_11_112,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of rice ,Class,M,VH,M,VH,VH,VH,M,H,M,H,VH,VH,H,VL,N/A,N/A,VH,VL,VH,H,VH,N/A,N/A,N/A,N/A
A_1_11_113,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,"Growing of vegetables and melons, roots and tubers",Class,M,VH,M,VH,VH,VH,M,H,M,H,VH,VH,VH,VL,N/A,N/A,VH,H,H,VH,VH,N/A,N/A,N/A,N/A
A_1_11_114,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of sugar cane,Class,M,VH,M,VH,VH,VH,M,H,M,M,VH,VH,H,VL,N/A,N/A,VH,N/A,M,H,VH,N/A,N/A,N/A,N/A
A_1_11_115,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of tobacco,Class,M,VH,M,VH,VH,VH,M,H,M,H,VH,VH,VH,VL,N/A,N/A,VH,M,H,VH,VH,N/A,N/A,N/A,N/A
A_1_11_116,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of non-perennial crops,Growing of fibre crops,Class,M,VH,M,VH,VH,VH,M,H,M,M,VH,VH,H,VL,N/A,N/A,VH,VH,M,H,VH,N/A,N/A,N/A,N/A
