EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Other business activities (74),M,69.2,M69.20,"Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy","Accounting, bookkeeping and auditing activities; tax consultancy",Legal and accounting activities,"Professional, scientific and technical activities",M_69_692,M_69_692_6920
Activities auxiliary to financial intermediation (67),K,66.11,K66.11,Administration of financial markets,Administration of financial markets,"Activities auxiliary to financial service activities, except insurance and pension funding",Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_661,K_66_661_6611
Activities auxiliary to financial intermediation (67),K,66.19,K66.19,"Other activities auxiliary to financial services, except insurance and pension funding",Other activities auxiliary to financial service activities,"Activities auxiliary to financial service activities, except insurance and pension funding",Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_661,K_66_661_6619
Activities auxiliary to financial intermediation (67),K,66.12,K66.12,Security and commodity contracts brokerage,Security and commodity contracts brokerage,"Activities auxiliary to financial service activities, except insurance and pension funding",Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_661,K_66_661_6612
Activities auxiliary to financial intermediation (67),K,66.22,K66.22,Activities of insurance agents and brokers,Activities of insurance agents and brokers,Activities auxiliary to insurance and pension funding,Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_662,K_66_662_6622
Activities auxiliary to financial intermediation (67),K,66.29,K66.29,Other activities auxiliary to insurance and pension funding,Other activities auxiliary to insurance and pension funding,Activities auxiliary to insurance and pension funding,Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_662,K_66_662_6629
Activities auxiliary to financial intermediation (67),K,66.21,K66.21,Risk and damage evaluation,Risk and damage evaluation,Activities auxiliary to insurance and pension funding,Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_662,K_66_662_6621
Activities of membership organisation n.e.c. (91),S,94.11,S94.11,Activities of business and employers membership organisations,Activities of business and employers membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,S_94_941,S_94_941_9411
Activities of membership organisation n.e.c. (91),S,94.12,S94.12,Activities of professional membership organisations,Activities of professional membership organizations,"Activities of business, employers and professional membership organizations",Activities of membership organizations,Other service activities,S_94_941,S_94_941_9412
Other business activities (74),N,82.2,N82.20,Activities of call centres,Activities of call centres,Activities of call centres,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_822,N_82_822_8220
Other business activities (74),N,78.1,N78.10,Activities of employment placement agencies,Activities of employment placement agencies,Activities of employment placement agencies,Employment activities,Administrative and support service activities,N_78_781,N_78_781_7810
Extra-territorial organizations and bodies,U,99,U99.00,Activities of extraterritorial organisations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,Activities of extraterritorial organizations and bodies,U_99_990,U_99_990_9900
Other business activities (74),M,70.1,M70.10,Activities of head offices,Activities of head offices,Activities of head offices,Activities of head offices; management consultancy activities,"Professional, scientific and technical activities",M_70_701,M_70_701_7010
"Financial intermediation, except insurance and pension funding (65)",K,64.2,K64.20,Activities of holding companies,Activities of holding companies,Activities of holding companies,"Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_642,K_64_642_6420
