EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Other business activities (74),K,64.2,K64.20,Activities of holding companies,Activities of holding companies,Activities of holding companies,"Financial service activities, except insurance and pension funding",Financial and insurance activities,K_64_642,K_64_642_6420
Private households with employed persons (95),T,97,T97.00,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T_97_970,T_97_970_9700
Activities of membership organisation n.e.c. (91),S,94.99,S94.99,Activities of other membership organisations n.e.c.,Activities of other membership organizations n.e.c.,Activities of other membership organizations,Activities of membership organizations,Other service activities,S_94_949,S_94_949_9499
Activities of membership organisation n.e.c. (91),S,94.92,S94.92,Activities of political organisations,Activities of political organizations,Activities of other membership organizations,Activities of membership organizations,Other service activities,S_94_949,S_94_949_9492
Activities of membership organisation n.e.c. (91),S,94.91,S94.91,Activities of religious organisations,Activities of religious organizations,Activities of other membership organizations,Activities of membership organizations,Other service activities,S_94_949,S_94_949_9491
Activities of membership organisation n.e.c. (91),S,94.2,S94.20,Activities of trade unions,Activities of trade unions,Activities of trade unions,Activities of membership organizations,Other service activities,S_94_942,S_94_942_9420
Public administration and defence; compulsory social security (75),O,84.11,O84.11,General public administration activities,General public administration activities,Administration of the State and the economic and social policy of the community,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_841,O_84_841_8411
Public administration and defence; compulsory social security (75),O,84.13,O84.13,Regulation of and contribution to more efficient operation of businesses,Regulation of and contribution to more efficient operation of businesses,Administration of the State and the economic and social policy of the community,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_841,O_84_841_8413
Public administration and defence; compulsory social security (75),O,84.12,O84.12,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security","Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",Administration of the State and the economic and social policy of the community,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_841,O_84_841_8412
Other business activities (74),M,73.11,M73.11,Advertising agencies,Advertising,Advertising,Advertising and market research,"Professional, scientific and technical activities",M_73_731,M_73_731_7310
Other business activities (74),M,73.12,M73.12,Media representation,Advertising,Advertising,Advertising and market research,"Professional, scientific and technical activities",M_73_731,M_73_731_7310
Meat animals nec,A,1.44,A01.44,Raising of camels and camelids,Raising of camels and camelids,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_143
Cattle farming,A,1.42,A01.42,Raising of other cattle and buffaloes,Raising of cattle and buffaloes,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_141
Raw milk,A,1.41,A01.41,Raising of dairy cattle,Raising of cattle and buffaloes,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_141
Meat animals nec,A,1.43,A01.43,Raising of horses and other equines,Raising of horses and other equines,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_142
Animal products nec,A,1.49,A01.49,Raising of other animals,Raising of other animals,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_149
Meat animals nec,A,1.49,A01.49,Raising of other animals,Raising of other animals,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_149
Poultry farming,A,1.47,A01.47,Raising of poultry,Raising of poultry,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_146
Meat animals nec,A,1.45,A01.45,Raising of sheep and goats,Raising of sheep and goats,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_144
"Wool, silk-worm cocoons",A,1.45,A01.45,Raising of sheep and goats,Raising of sheep and goats,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_144
Pigs farming,A,1.46,A01.46,Raising of swine/pigs,Raising of swine/pigs,Animal production,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_14,A_1_14_145
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",A,3.22,A03.22,Freshwater aquaculture,Freshwater aquaculture,Aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_32,A_3_32_322
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",A,3.21,A03.21,Marine aquaculture,Marine aquaculture,Aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_32,A_3_32_321
Other business activities (74),M,71.11,M71.11,Architectural activities,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",M_71_711,M_71_711_7110
Other business activities (74),M,71.12,M71.12,Engineering activities and related technical consultancy,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities and related technical consultancy,Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",M_71_711,M_71_711_7110
Hotels and restaurants (55),I,56.3,I56.30,Beverage serving activities,Beverage serving activities,Beverage serving activities,Food and beverage service activities,Accommodation and food service activities,I_56_563,I_56_563_5630
Construction (45),F,43.33,F43.33,Floor and wall covering,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Construction (45),F,43.32,F43.32,Joinery installation,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Construction (45),F,43.39,F43.39,Other building completion and finishing,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Construction (45),F,43.34,F43.34,Painting and glazing,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Construction (45),F,43.31,F43.31,Plastering,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Re-processing of secondary construction material into aggregates,F,43.33,F43.33,Floor and wall covering,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Re-processing of secondary construction material into aggregates,F,43.32,F43.32,Joinery installation,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Re-processing of secondary construction material into aggregates,F,43.39,F43.39,Other building completion and finishing,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Re-processing of secondary construction material into aggregates,F,43.34,F43.34,Painting and glazing,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Re-processing of secondary construction material into aggregates,F,43.31,F43.31,Plastering,Building completion and finishing,Building completion and finishing,Specialized construction activities,Construction,F_43_433,F_43_433_4330
Manufacture of other transport equipment (35),C,30.12,C30.12,Building of pleasure and sporting boats,Building of pleasure and sporting boats,Building of ships and boats,Manufacture of other transport equipment,Manufacturing,C_30_301,C_30_301_3012
Manufacture of other transport equipment (35),C,30.11,C30.11,Building of ships and floating structures,Building of ships and floating structures,Building of ships and boats,Manufacture of other transport equipment,Manufacturing,C_30_301,C_30_301_3011
Other business activities (74),N,82.91,N82.91,Activities of collection agencies and credit bureaus,Activities of collection agencies and credit bureaus,Business support service activities n.e.c.,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_829,N_82_829_8291
Other business activities (74),N,82.99,N82.99,Other business support service activities n.e.c.,Other business support service activities n.e.c.,Business support service activities n.e.c.,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_829,N_82_829_8299
Other business activities (74),N,82.92,N82.92,Packaging activities,Packaging activities,Business support service activities n.e.c.,"Office administrative, office support and other business support activities",Administrative and support service activities,N_82_829,N_82_829_8292
Hotels and restaurants (55),I,55.3,I55.30,"Camping grounds, recreational vehicle parks and trailer parks","Camping grounds, recreational vehicle parks and trailer parks","Camping grounds, recreational vehicle parks and trailer parks",Accommodation,Accommodation and food service activities,I_55_552,I_55_552_5520
Casting of metals,C,24.51,C24.51,Casting of iron,Casting of iron and steel,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243,C_24_243_2431
Casting of metals,C,24.52,C24.52,Casting of steel,Casting of iron and steel,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243,C_24_243_2431
Casting of metals,C,24.53,C24.53,Casting of light metals,Casting of non-ferrous metals,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243,C_24_243_2432
Casting of metals,C,24.54,C24.54,Casting of other non-ferrous metals,Casting of non-ferrous metals,Casting of metals,Manufacture of basic metals,Manufacturing,C_24_243,C_24_243_2432
Other business activities (74),N,81.21,N81.21,General cleaning of buildings,General cleaning of buildings,Cleaning activities,Services to buildings and landscape activities,Administrative and support service activities,N_81_812,N_81_812_8121
Other business activities (74),N,81.22,N81.22,Other building and industrial cleaning activities,Other building and industrial cleaning activities,Cleaning activities,Services to buildings and landscape activities,Administrative and support service activities,N_81_812,N_81_812_8129
Other business activities (74),N,81.29,N81.29,Other cleaning activities,Other building and industrial cleaning activities,Cleaning activities,Services to buildings and landscape activities,Administrative and support service activities,N_81_812,N_81_812_8129
Other business activities (74),N,81.1,N81.10,Combined facilities support activities,Combined facilities support activities,Combined facilities support activities,Services to buildings and landscape activities,Administrative and support service activities,N_81_811,N_81_811_8110
Public administration and defence; compulsory social security (75),O,84.3,O84.30,Compulsory social security activities,Compulsory social security activities,Compulsory social security activities,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_843,O_84_843_8430
Computer and related activities (72),J,62.02,J62.02,Computer consultancy activities,Computer consultancy and computer facilities management activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",Information and communication,J_62_620,J_62_620_6202
Computer and related activities (72),J,62.03,J62.03,Computer facilities management activities,Computer consultancy and computer facilities management activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",Information and communication,J_62_620,J_62_620_6202
Computer and related activities (72),J,62.01,J62.01,Computer programming activities,Computer programming activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",Information and communication,J_62_620,J_62_620_6201
Computer and related activities (72),J,62.09,J62.09,Other information technology and computer service activities,Other information technology and computer service activities,"Computer programming, consultancy and related activities","Computer programming, consultancy and related activities",Information and communication,J_62_620,J_62_620_6209
Construction (45),F,41.2,F41.20,Construction of residential and non-residential buildings,Construction of buildings,Construction of buildings,Construction of buildings,Construction,F_41_410,F_41_410_4100
Construction (45),F,41.1,F41.10,Development of building projects,Construction of buildings,Construction of buildings,Construction of buildings,Construction,F_41_410,F_41_410_4100
Re-processing of secondary construction material into aggregates,F,41.2,F41.20,Construction of residential and non-residential buildings,Construction of buildings,Construction of buildings,Construction of buildings,Construction,F_41_410,F_41_410_4100
Re-processing of secondary construction material into aggregates,F,41.1,F41.10,Development of building projects,Construction of buildings,Construction of buildings,Construction of buildings,Construction,F_41_410,F_41_410_4100
Construction (45),F,42.99,F42.99,Construction of other civil engineering projects n.e.c.,Construction of other civil engineering projects,Construction of other civil engineering projects,Civil engineering,Construction,F_42_429,F_42_429_4290
Construction (45),F,42.91,F42.91,Construction of water projects,Construction of other civil engineering projects,Construction of other civil engineering projects,Civil engineering,Construction,F_42_429,F_42_429_4290
Re-processing of secondary construction material into aggregates,F,42.99,F42.99,Construction of other civil engineering projects n.e.c.,Construction of other civil engineering projects,Construction of other civil engineering projects,Civil engineering,Construction,F_42_429,F_42_429_4290
Re-processing of secondary construction material into aggregates,F,42.91,F42.91,Construction of water projects,Construction of other civil engineering projects,Construction of other civil engineering projects,Civil engineering,Construction,F_42_429,F_42_429_4290
Construction (45),F,42.13,F42.13,Construction of bridges and tunnels,Construction of roads and railways,Construction of roads and railways,Civil engineering,Construction,F_42_421,F_42_421_4210
Construction (45),F,42.12,F42.12,Construction of railways and underground railways,Construction of roads and railways,Construction of roads and railways,Civil engineering,Construction,F_42_421,F_42_421_4210
Construction (45),F,42.11,F42.11,Construction of roads and motorways,Construction of roads and railways,Construction of roads and railways,Civil engineering,Construction,F_42_421,F_42_421_4210
Re-processing of secondary construction material into aggregates,F,42.13,F42.13,Construction of bridges and tunnels,Construction of roads and railways,Construction of roads and railways,Civil engineering,Construction,F_42_421,F_42_421_4210
Re-processing of secondary construction material into aggregates,F,42.12,F42.12,Construction of railways and underground railways,Construction of roads and railways,Construction of roads and railways,Civil engineering,Construction,F_42_421,F_42_421_4210
Re-processing of secondary construction material into aggregates,F,42.11,F42.11,Construction of roads and motorways,Construction of roads and railways,Construction of roads and railways,Civil engineering,Construction,F_42_421,F_42_421_4210
Construction (45),F,42.22,F42.22,Construction of utility projects for electricity and telecommunications,Construction of utility projects,Construction of utility projects,Civil engineering,Construction,F_42_422,F_42_422_4220
Construction (45),F,42.21,F42.21,Construction of utility projects for fluids,Construction of utility projects,Construction of utility projects,Civil engineering,Construction,F_42_422,F_42_422_4220
Re-processing of secondary construction material into aggregates,F,42.22,F42.22,Construction of utility projects for electricity and telecommunications,Construction of utility projects,Construction of utility projects,Civil engineering,Construction,F_42_422,F_42_422_4220
Re-processing of secondary construction material into aggregates,F,42.21,F42.21,Construction of utility projects for fluids,Construction of utility projects,Construction of utility projects,Civil engineering,Construction,F_42_422,F_42_422_4220
Post and telecommunications (64),H,53.2,H53.20,Other postal and courier activities,Courier activities,Courier activities,Postal and courier activities,Transportation and storage,H_53_532,H_53_532_5320
"Recreational, cultural and sporting activities (92)",R,90.03,R90.03,Artistic creation,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900,R_90_900_9000
"Recreational, cultural and sporting activities (92)",R,90.04,R90.04,Operation of arts facilities,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900,R_90_900_9000
"Recreational, cultural and sporting activities (92)",R,90.01,R90.01,Performing arts,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900,R_90_900_9000
"Recreational, cultural and sporting activities (92)",R,90.02,R90.02,Support activities to performing arts,"Creative, arts and entertainment activities","Creative, arts and entertainment activities","Creative, arts and entertainment activities","Arts, entertainment and recreation",R_90_900,R_90_900_9000
Computer and related activities (72),J,63.11,J63.11,"Data processing, hosting and related activities","Data processing, hosting and related activities","Data processing, hosting and related activities; web portals",Information service activities,Information and communication,J_63_631,J_63_631_6311
Computer and related activities (72),J,63.12,J63.12,Web portals,Web portals,"Data processing, hosting and related activities; web portals",Information service activities,Information and communication,J_63_631,J_63_631_6312
Construction (45),F,43.11,F43.11,Demolition,Demolition,Demolition and site preparation,Specialized construction activities,Construction,F_43_431,F_43_431_4311
Re-processing of secondary construction material into aggregates,F,43.11,F43.11,Demolition,Demolition,Demolition and site preparation,Specialized construction activities,Construction,F_43_431,F_43_431_4311
Construction (45),F,43.12,F43.12,Site preparation,Site preparation,Demolition and site preparation,Specialized construction activities,Construction,F_43_431,F_43_431_4312
Construction (45),F,43.13,F43.13,Test drilling and boring,Site preparation,Demolition and site preparation,Specialized construction activities,Construction,F_43_431,F_43_431_4312
Re-processing of secondary construction material into aggregates,F,43.12,F43.12,Site preparation,Site preparation,Demolition and site preparation,Specialized construction activities,Construction,F_43_431,F_43_431_4312
Re-processing of secondary construction material into aggregates,F,43.13,F43.13,Test drilling and boring,Site preparation,Demolition and site preparation,Specialized construction activities,Construction,F_43_431,F_43_431_4312
Other business activities (74),P,85.6,P85.60,Educational support activities,Educational support activities,Educational support activities,Education,Education,P_85_855,P_85_855_8550
Production of electricity by biomass and waste,D,35.11,D35.11,Production of electricity,Biomass energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by coal,D,35.11,D35.11,Production of electricity,Fossil fuels energy production ,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by gas,D,35.11,D35.11,Production of electricity,Fossil fuels energy production ,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by petroleum and other oil derivatives,D,35.11,D35.11,Production of electricity,Fossil fuels energy production ,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by Geothermal,D,35.11,D35.11,Production of electricity,Geothermal energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by hydro,D,35.11,D35.11,Production of electricity,Hydropower energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by nuclear,D,35.11,D35.11,Production of electricity,Nuclear power production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
"Production of electricity by tide, wave, ocean",D,35.11,D35.11,Production of electricity,Ocean energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by solar photovoltaic,D,35.11,D35.11,Production of electricity,Solar energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by solar thermal,D,35.11,D35.11,Production of electricity,Solar energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Production of electricity by wind,D,35.11,D35.11,Production of electricity,Wind energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Transmission of electricity,D,35.12,D35.12,Transmission of electricity,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Distribution and trade of electricity,D,35.13,D35.13,Distribution of electricity,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Distribution and trade of electricity,D,35.14,D35.14,Trade of electricity,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351,D_35_351_3510
Construction (45),F,43.21,F43.21,Electrical installation,Electrical installation,"Electrical, plumbing and other construction installation activities",Specialized construction activities,Construction,F_43_432,F_43_432_4321
Re-processing of secondary construction material into aggregates,F,43.21,F43.21,Electrical installation,Electrical installation,"Electrical, plumbing and other construction installation activities",Specialized construction activities,Construction,F_43_432,F_43_432_4321
Construction (45),F,43.29,F43.29,Other construction installation,Other construction installation,"Electrical, plumbing and other construction installation activities",Specialized construction activities,Construction,F_43_432,F_43_432_4329
Re-processing of secondary construction material into aggregates,F,43.29,F43.29,Other construction installation,Other construction installation,"Electrical, plumbing and other construction installation activities",Specialized construction activities,Construction,F_43_432,F_43_432_4329
Construction (45),F,43.22,F43.22,"Plumbing, heat and air-conditioning installation","Plumbing, heat and air-conditioning installation","Electrical, plumbing and other construction installation activities",Specialized construction activities,Construction,F_43_432,F_43_432_4322
Re-processing of secondary construction material into aggregates,F,43.22,F43.22,"Plumbing, heat and air-conditioning installation","Plumbing, heat and air-conditioning installation","Electrical, plumbing and other construction installation activities",Specialized construction activities,Construction,F_43_432,F_43_432_4322
Hotels and restaurants (55),I,56.21,I56.21,Event catering activities,Event catering,Event catering and other food service activities,Food and beverage service activities,Accommodation and food service activities,I_56_562,I_56_562_5621
Hotels and restaurants (55),I,56.29,I56.29,Other food service activities,Other food service activities,Event catering and other food service activities,Food and beverage service activities,Accommodation and food service activities,I_56_562,I_56_562_5629
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",B,6.1,B06.10,Extraction of crude petroleum,Extraction of crude petroleum,Extraction of crude petroleum,Extraction of crude petroleum and natural gas,Mining and quarrying,B_6_61,B_6_61_610
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",B,6.2,B06.20,Extraction of natural gas,Extraction of natural gas,Extraction of natural gas,Extraction of crude petroleum and natural gas,Mining and quarrying,B_6_62,B_6_62_620
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",B,6.2,B06.20,Extraction of natural gas,Extraction of natural gas,Extraction of natural gas,Extraction of crude petroleum and natural gas,Mining and quarrying,B_6_62,B_6_62_620
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",A,3.12,A03.12,Freshwater fishing,Freshwater fishing,Fishing,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_31,A_3_31_312
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",A,3.11,A03.11,Marine fishing,Marine fishing,Fishing,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_31,A_3_31_311
Air transport (62),H,51.21,H51.21,Freight air transport,Freight air transport,Freight air transport,Air transport,Transportation and storage,H_51_512,H_51_512_5120
Air transport (62),H,51.22,H51.22,Space transport,Freight air transport,Freight air transport,Air transport,Transportation and storage,H_51_512,H_51_512_5120
Activities auxiliary to financial intermediation (67),K,66.3,K66.30,Fund management activities,Fund management activities,Fund management activities,Activities auxiliary to financial service and insurance activities,Financial and insurance activities,K_66_663,K_66_663_6630
"Recreational, cultural and sporting activities (92)",R,92,R92.00,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,"Arts, entertainment and recreation",R_92_920,R_92_920_9200
"Forestry, logging and related service activities (02)",A,2.3,A02.30,Gathering of wild growing non-wood products,Gathering of non-wood forest products,Gathering of non-wood forest products,Forestry and logging,"Agriculture, forestry and fishing",A_2_23,A_2_23_230
Cultivation of cereal grains nec,A,1.11,A01.11,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_111
Cultivation of oil seeds,A,1.11,A01.11,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_111
"Cultivation of vegetables, fruit, nuts",A,1.11,A01.11,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_111
Cultivation of wheat,A,1.11,A01.11,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_111
Cultivation of plant-based fibers,A,1.16,A01.16,Growing of fibre crops,Growing of fibre crops,Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_116
Cultivation of crops nec,A,1.19,A01.19,Growing of other non-perennial crops,Growing of other non-perennial crops,Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_119
Cultivation of paddy rice,A,1.12,A01.12,Growing of rice,Growing of rice,Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_112
"Cultivation of sugar cane, sugar beet",A,1.14,A01.14,Growing of sugar cane,Growing of sugar cane,Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_114
Cultivation of crops nec,A,1.15,A01.15,Growing of tobacco,Growing of tobacco,Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_115
Cultivation of crops nec,A,1.13,A01.13,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",Growing of non-perennial crops,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_11,A_1_11_113
